F1,F2,F3,F6,F11,F12,F13,F14,F15,F24,F27
-21.76004845619658,-21.759824521050653,-21.760108665537665,-21.7597450803444,-21.760031680408037,-21.759579775691563,-21.760115658206452,-21.760111452999613,-21.759759574625953,-21.760080121735143,-21.75997278559979
-21.75963682067144,-21.759829358352263,-21.76010925823706,-21.7600794290019,-21.760112390788404,-21.760062519867084,-21.760079053292607,-21.760037315141336,-21.759824329293398,-21.75990489063647,-21.759939543897154
-21.759870848767623,-21.759969434462597,-21.760097103592578,-21.760055071466024,-21.759908212029632,-21.760093255304998,-21.76009581809886,-21.76011854370601,-21.75989611351518,-21.760102200551287,-21.75987233431416
-21.760117536090856,-21.760079455454637,-21.759499779271483,-21.759768285356966,-21.76010960313397,-21.759833068844692,-21.760086605483338,-21.759101926472788,-21.760090755052722,-21.760090053598898,-21.7598343153081
-21.75964778244505,-21.759975259458123,-21.760115678250596,-21.760078419055684,-21.759700308312585,-21.76011824049454,-21.760117920617883,-21.759991386578804,-21.760067418881913,-21.759911972082303,-21.759205564617684
-21.759479558978843,-21.76008472989565,-21.76010939017315,-21.760077533593748,-21.760050230454404,-21.760093318014185,-21.760025838021388,-21.75934684043663,-21.76010448266235,-21.760085205059482,-21.759437168175996
-21.76010166767019,-21.75926971836477,-21.758171036371003,-21.760097485855553,-21.760120238189458,-21.760096931567507,-21.760103035989847,-21.75988697139979,-21.760100430504135,-21.760117208158622,-21.760089284492622
-21.76012003642761,-21.760118612069295,-21.760099348508795,-21.760114069974325,-21.760079442326916,-21.760109101012176,-21.760119927294266,-21.7586542628916,-21.760019606468184,-21.76007899903408,-21.75984045298482
-21.760109438819956,-21.75997269386441,-21.760092702476033,-21.75993236343807,-21.760119531694496,-21.760031482506413,-21.760075746339616,-21.76010562759776,-21.76008030095017,-21.759766530410943,-21.75965567799053
-21.760111000418036,-21.76005262346419,-21.760063915339966,-21.760084412010833,-21.760084449646833,-21.760014171875504,-21.76004261881967,-21.760119570330616,-21.75803172405953,-21.76005126773108,-21.758679825346032
-21.760041388146114,-21.76007776048422,-21.76008057362396,-21.759948600170812,-21.760036475935447,-21.760075728994668,-21.759965515845952,-21.760107415578602,-21.76012020219291,-21.760113718226506,-21.759976395018448
-21.76007502711183,-21.759968640133764,-21.76011357422384,-21.760109460678894,-21.76011507185073,-21.760075564441244,-21.760113998358623,-21.76007419849758,-21.760096032717726,-21.76006403921285,-21.760019286095105
-21.759980395611443,-21.759339313290614,-21.760115826281634,-21.760084898908712,-21.760119660226017,-21.759848399893613,-21.75895662423326,-21.76007791794432,-21.75870485098876,-21.760084718046222,-21.760117034542173
-21.75990878525722,-21.759499246806833,-21.760091280770244,-21.760092224510206,-21.760103998008205,-21.760014380369736,-21.760001265303508,-21.759974333998134,-21.75962152095151,-21.76010605945436,-21.760102690605596
-21.760118840754718,-21.760083623868024,-21.75957059687695,-21.760020935896897,-21.75979656447427,-21.75987823561008,-21.76005565567933,-21.759497815273928,-21.760082539713554,-21.760013410621195,-21.760114650428484
-21.759940391065985,-21.759991883188935,-21.759809175793414,-21.760027149492284,-21.760119276161827,-21.76011630880554,-21.760109720640624,-21.759932271115254,-21.759816495525534,-21.760100903711052,-21.7600916411881
-21.760006181929672,-21.759972683459637,-21.75989055083181,-21.759799825368734,-21.760102921492074,-21.760089801875132,-21.76011889061237,-21.76007414447076,-21.75957360938377,-21.760004426114392,-21.759751549937526
-21.760059181564095,-21.75973123383364,-21.759768413011383,-21.760103040071595,-21.760109510253688,-21.760120316940572,-21.76008680263033,-21.760106413080024,-21.758520592384578,-21.759343936923354,-21.760090985776397
-21.76010504390509,-21.759976248230515,-21.75744637208925,-21.760091776894086,-21.760119191827776,-21.760023062277163,-21.760100452737174,-21.760051532773545,-21.760099697382188,-21.760106927375627,-21.75943263300204
-21.759821945270822,-21.760098042387735,-21.76000923827523,-21.760113266845003,-21.75975564738298,-21.76008533289359,-21.75937053812099,-21.760114088344896,-21.760069318693454,-21.759983147461856,-21.759940676250757
-21.76008735884226,-21.76008368986938,-21.759950906983185,-21.760074144401344,-21.760112353541086,-21.760080961708976,-21.760091907109768,-21.760099362006283,-21.760074030414927,-21.760063560873785,-21.760094724998186
-21.75993685868465,-21.75974358533336,-21.760115016317158,-21.759996165659874,-21.760011732328774,-21.76011123856282,-21.759999988581,-21.759387766827306,-21.75955790130274,-21.760118326003262,-21.759211240871174
-21.759958704146012,-21.759415942696148,-21.759967733700787,-21.760013155399058,-21.76003403244541,-21.760104562610966,-21.759993958002514,-21.760094940685644,-21.760063525100396,-21.75956122986765,-21.760077323041543
-21.760112589145066,-21.76010640783445,-21.76011183078597,-21.760117396992047,-21.759556401627222,-21.759367257911016,-21.760113691136716,-21.760063199219868,-21.760072316914243,-21.758466939719476,-21.76003356145974
-21.759921604590282,-21.75991062984005,-21.759983288345314,-21.760085709552285,-21.76008759626766,38.41549957469559,-21.75868506728089,-21.759665864133993,-21.76009226204723,52.740315292400844,-21.76010656533904
-21.75980315992571,-21.76011159401036,-21.76003268944953,-21.759713520537552,-21.76009617172399,-21.758362500917748,-21.759530599914715,-21.75974991242935,-21.76008292712727,-21.759903235484405,-21.76007988364541
-21.759944528377485,-21.76011321107742,-21.76010396900759,-21.759890792444335,-21.76011110517722,-21.760118121027674,-21.760118305591213,-21.76011501020883,-21.76006882606003,-21.760061463690764,-21.760072225050404
-21.76009852377465,-21.75881761069988,-21.76011867647007,-21.760106169183324,-21.760077646116656,-21.760093878174864,-21.758973889906354,-21.75986350014593,-21.760096490597405,-21.7601108521506,-21.760115704273343
-21.760076365044583,-21.760110477078662,-21.760011066925497,-21.76003778857572,-21.759289400914586,-21.759205945557188,-21.760115923595556,-21.760091847503308,-21.7598570854589,-21.759942657950244,-21.7600955961304
-21.76009511363108,-21.760115941084635,-21.76011410493331,-21.759686899277312,-21.760053353035897,-21.760116752156947,-21.75904622651489,-21.760089241690675,-21.76012032628808,-21.76011985302285,-21.759622339902393
