F1,F2,F3,F6,F11,F12,F13,F14,F15,F24,F27
-21.760071322924446,-21.760065406840695,-21.760088290181393,-21.7601175022527,-21.75989864180529,-21.759969819986328,-21.760101755635958,-21.760113516373004,-21.760030946055046,-21.760097007447946,-21.76011340586819
-21.759838770996883,-21.759925208299965,-21.760107692868058,-21.76007511128238,-21.759792169976134,-21.760061842937997,-21.75957849768539,-21.76011619164599,-21.75979038115905,-21.760114180517824,-21.76004987861791
-21.76009529987952,-21.759918563745405,-21.759385425247668,-21.759323179812757,-21.760038863258494,-21.760087072786536,-21.76011762625704,-21.760115495422077,-21.760060572717357,-21.759738890870164,-21.76009838985846
-21.76011813193599,-21.75998213961426,-21.760116904161286,-21.759920746925832,-21.760111173509955,-21.760083389171783,-21.760002757773094,-21.75988063508118,-21.75997609882432,-21.760113931392247,-21.75950042597619
-21.760112035968227,-21.759493721703,-21.7598753598848,-21.758571433989598,-21.76009798405615,-21.760098603892803,-21.760116837477828,-21.760009794397288,-21.760031139119782,-21.760091776770178,-21.760088450736564
-21.760094764090503,-21.759914702000163,-21.76006532471737,-21.760117655718698,-21.75992752639055,-21.760120185753127,-21.759682117823655,-21.759945958141845,-21.760062009033927,-21.75999722486293,-21.759902916952747
-21.759738459569828,-21.76011464193169,-21.760114368800703,-21.759755718136788,-21.759529654119966,-21.760100167397646,-21.760120012987997,-21.760022551919654,38.29324938822995,-21.76006202740538,-21.76011203723276
-21.76010391634251,-21.76010283882782,-21.760011188590603,-21.76012007930956,-21.759951161281883,-21.760074340165595,-21.76001238782689,-21.76011467651453,-21.760078449380025,-21.759591970519168,-21.76011130559968
-21.76010255903007,-21.75968406425916,-21.759894534654514,-21.760021572386442,-21.760064026286987,-21.760118927022756,-21.759930854675353,-21.760119340281456,-21.758200218553288,-21.760118212165548,-21.76009553281611
-21.759953113706455,-21.760112872941026,-21.760104784384147,-21.759950039839346,-21.759794334576682,-21.760118781533375,-21.758737273564545,-21.76010809999009,-21.760103670028606,-21.75945707024932,-21.759786965020034
-21.759932608291535,-21.760115127977965,-21.76004754089673,-21.75879466669243,-21.7600382112015,-21.760098514493052,-21.759371755492126,-21.76011250748251,-21.759723785077075,-21.760119551312734,-21.760023731101082
-21.760109734896723,-21.759209782763723,-21.759296267384542,-21.759966733124315,-21.75904668446472,-21.760117847625864,-21.759551331077308,-21.760113718731258,-21.76011207405822,-21.759936222884964,-21.759519231785127
-21.760100701574924,-21.76007631352161,-21.76010984702961,-21.760064865449525,-21.760076041547244,-21.75999321652882,-21.760106654119408,-21.76010041732523,-21.759773528834963,-21.76010884331826,-21.759870109724552
-21.760075978185224,-21.760097094370025,-21.759976974278427,-21.76002135019912,-21.760031780294977,-21.760087633021744,-21.760079973934886,-21.76008074792139,-21.760116066297517,-21.759965084543904,-21.760036739092318
-21.75996791281122,-21.760085876582536,-21.759655185072877,-21.76011103325104,-21.760000992186228,-21.758835255980443,-21.760104109827754,-21.759849664811636,-21.760118038982526,-21.760103020412476,-21.760102057783612
-21.759986270528408,-21.760114078559983,-21.759885311952477,-21.759999696998275,-21.760007076152437,-21.76005372734952,-21.760117565614994,-21.76009214140097,-21.760082753781905,-21.76006187324388,-21.75959422912343
-21.760112589186228,-21.760088712294838,-21.760084043416757,-21.760111077628476,-21.76009620132137,-21.76008687721801,-21.760107628004427,-21.760107477771356,-21.760085663741236,-21.760101558549128,-21.75990688639535
-21.759827534693986,-21.758846430178657,-21.760101766848948,-21.76010614798176,-21.759686181793466,-21.759919071411314,-21.76011466912509,-21.758563876455128,-21.760095941849563,-21.76009799612875,-21.76010532010935
-21.75938407801942,-21.76010333186946,-21.75959629321825,-21.760060094238533,-21.759491563461637,-21.75825461619879,-21.760101982166216,-21.76009227602515,-21.76011042573501,-21.75972238326348,-21.760066331490854
-21.760045734552683,-21.759080599211718,-21.75988206282641,-21.760110872913867,-21.760005669296373,-21.76000541788716,-21.760115476002134,-21.76005351509382,-21.760109352846335,-21.760119513716656,-21.76006503528632
-21.760040678893223,-21.760017382626867,-21.76001305054708,-21.75986171117942,-21.760026369395675,-21.760110163778265,-21.760114890939192,-21.760073619943658,-21.76011365233234,-21.76010473308541,-21.7601169619302
-21.760040775122196,-21.759802716355,-21.75995846075763,-21.759889936418197,-21.75959899119346,-21.760083795319243,-21.76008525030298,-21.75940501367076,-21.75999719422543,-21.760081804603203,-21.760120122009752
-21.76000870647674,-21.76011379397462,-21.76008130770339,-21.759895555918487,-21.759720168447455,-21.760048361498157,-21.7600638279001,-21.760114193202515,-21.760058695465432,-21.758676482496348,-21.759946832349023
-21.760111025864077,-21.760060701539622,-21.76009144804782,-21.759949586221477,-21.760059411397226,-21.760120116135074,-21.760120491395963,-21.760109762810337,-21.760074246677863,-21.760086271522457,-21.75916655784291
-21.76011446439415,-21.760060943291773,-21.7600577012555,-21.7600101147141,-21.760013853908443,-21.760049071100994,-21.760090583544848,-21.76002812543625,-21.759955152245322,-21.760095326376057,-21.76009808197146
-21.758816756034864,-21.75966749176519,-21.760114627856694,-21.760113497673398,-21.760118556680574,-21.75993797595991,-21.760076663748883,-21.760119814529492,-21.76005383231939,-21.75990757596992,-21.75987242824865
-21.759927877102434,-21.760083272650625,-21.75938794229784,-21.75949679835491,-21.760032295946015,-21.760097113615757,-21.76010270932431,-21.760104799728794,-21.760018527768352,-21.760095100763237,-21.760039000326838
-21.759994512426616,-21.760097919447862,-21.75994839319038,-21.759298518681028,-21.758983314737733,-21.75984154423867,-21.759867611442324,-21.758697260166386,-21.760103768254304,-21.75936600208892,-21.760114801234337
-21.7600965455512,-21.758816690504613,-21.760064801270417,-21.760114583321478,-21.76010000533728,-21.759930228846557,-21.760105720109152,-21.759995298020726,-21.759989910942732,-21.76007115549758,-21.759987374299605
-21.75992176953988,-21.75979983306702,-21.75959319642225,-21.760038830335716,-21.75981052788767,-21.760104532566466,-21.76005493616955,-21.760119580258927,-21.758288993429765,-21.759791983420058,-21.759951434781836
